hired,service_year,nvq_level,length_of_service,employee_status,monthly_leaves,average_montly_hours,handle_appointments,customer_satisfaction_level,monthly_basic_salary,yearly_increment
2020,2021,3,1,1,3,184,23,1,29000,1
2019,2021,4,2,2,0,296,40,1,53000,1
2017,2019,5,2,2,0,294,30,1,42000,0
2019,2021,2,2,2,2,237,40,3,38000,1
2018,2020,3,2,2,1,242,37,1,42000,1
2018,2020,4,2,2,2,240,31,2,54000,1
2015,2020,4,5,2,2,236,31,2,54000,1
2020,2021,4,1,1,4,174,25,1,35000,0
2018,2019,4,1,1,0,207,18,1,33000,1
2016,2021,5,5,2,3,234,33,3,38000,1
2020,2021,3,1,1,3,176,21,1,26000,0
2016,2018,3,2,2,1,245,42,2,42000,1
2016,2020,3,4,2,5,210,29,2,39000,0
2017,2018,4,1,1,4,170,25,3,37000,0
2019,2021,4,2,2,0,274,43,2,61000,1
2017,2021,4,4,2,0,299,31,1,52000,1
2020,2021,3,1,1,4,172,10,3,40000,0
2015,2017,2,2,2,4,212,34,3,38000,0
2017,2018,3,1,1,2,190,23,1,32000,1
2016,2021,2,5,2,4,222,30,2,39000,0
2019,2021,2,2,2,2,241,31,2,39000,1
2019,2020,5,1,1,5,163,11,2,31000,0
2020,2021,5,1,1,3,180,16,1,31000,0
2019,2021,2,2,2,1,249,31,3,38000,1
2020,2021,2,1,1,5,165,17,1,39000,0
2017,2020,2,3,2,4,224,42,1,39000,1
2018,2019,2,1,1,1,199,17,2,37000,1
2019,2021,5,2,2,5,207,22,1,39000,0
2016,2019,2,3,2,3,226,34,3,40000,1
2018,2019,2,1,1,3,178,24,1,33000,0
2017,2020,5,3,2,5,209,28,1,39000,0
2015,2020,2,5,2,5,204,29,1,39000,0
2020,2021,2,1,1,1,196,22,2,36000,1
2016,2017,4,1,1,3,180,13,2,38000,0
2019,2021,5,2,2,2,233,45,1,61000,1
2018,2019,3,1,1,3,184,18,1,30000,1
2020,2021,4,1,1,2,189,20,1,34000,1
2017,2018,2,1,1,2,190,17,3,32000,0
2020,2021,3,1,1,5,160,11,1,38000,0
2020,2021,2,1,1,4,172,16,1,35000,0
2017,2021,3,4,2,3,228,37,2,50000,1
2020,2021,4,1,1,5,162,25,1,35000,0
2018,2020,2,2,2,4,224,35,1,39000,1
2019,2020,3,1,1,3,177,24,1,27000,0
2020,2021,3,1,1,3,179,10,2,34000,0
2019,2020,3,1,1,2,188,22,1,30000,1
2020,2021,3,1,1,1,193,20,1,31000,1
2019,2020,3,1,1,4,171,14,1,40000,0
2020,2021,3,1,1,3,178,16,2,31000,0
2017,2019,4,2,2,5,204,28,2,40000,0
2015,2016,4,1,1,0,218,18,2,35000,1
2018,2020,5,2,2,4,222,45,1,38000,1
2019,2021,2,2,2,4,221,42,1,40000,1
2020,2021,3,1,1,0,203,12,1,31000,0
2017,2021,4,4,2,2,231,37,2,51000,1
2019,2020,3,1,1,0,201,11,3,38000,0
2015,2017,5,2,2,5,209,26,3,38000,0
2018,2020,3,2,2,0,289,33,3,40000,1
2017,2018,3,1,1,4,173,20,1,31000,0
2017,2018,4,1,1,5,162,13,1,31000,0
2017,2018,5,1,1,1,197,25,2,33000,1
2016,2017,3,1,1,1,197,18,3,30000,0
2019,2020,4,1,1,2,187,18,2,35000,1
2019,2020,5,1,1,5,166,19,1,37000,0
2019,2020,3,1,1,2,186,18,1,33000,1
2016,2017,3,1,1,1,196,15,3,36000,0
2015,2020,3,5,2,2,233,44,3,40000,1
2016,2018,5,2,2,2,240,41,1,64000,1
2017,2020,5,3,2,4,227,30,1,39000,0
2018,2020,4,2,2,1,247,35,1,42000,1
2016,2017,4,1,1,2,189,17,1,31000,1
2018,2019,3,1,1,4,176,10,2,32000,0
2016,2018,2,2,2,2,237,39,2,39000,1
2017,2021,3,4,2,3,230,33,1,53000,1
2018,2021,5,3,2,3,238,45,1,53000,1
2019,2021,3,2,2,5,208,28,3,38000,0
2017,2019,3,2,2,2,233,40,2,43000,1
2017,2021,2,4,2,3,237,42,1,39000,1
2017,2019,2,2,2,0,285,33,3,39000,1
2016,2020,2,4,2,1,245,36,2,40000,1
2018,2019,2,1,1,2,192,14,1,33000,0
2017,2021,5,4,2,0,254,40,1,41000,1
2016,2021,4,5,2,3,237,36,2,45000,1
2017,2019,4,2,2,1,248,34,2,42000,1
2020,2021,5,1,1,5,163,25,1,35000,0
2015,2016,4,1,1,1,194,20,1,30000,1
2017,2020,5,3,2,0,287,38,2,50000,1
2019,2020,5,1,1,5,167,21,3,34000,0
2018,2021,4,3,2,4,221,36,3,40000,1
2018,2020,2,2,2,2,246,45,3,38000,1
2020,2021,3,1,1,4,169,25,2,34000,0
2017,2021,2,4,2,0,275,42,2,39000,1
2020,2021,3,1,1,1,196,15,2,38000,0
2015,2020,5,5,2,0,252,39,1,43000,1
2015,2017,5,2,2,2,237,44,1,61000,1
2016,2019,2,3,2,5,201,30,2,39000,0
2016,2017,3,1,1,3,177,10,2,35000,0
2018,2019,5,1,1,2,190,20,1,31000,1
2017,2020,4,3,2,2,245,42,2,65000,1
2017,2020,2,3,2,1,243,37,1,39000,1
2017,2021,5,4,2,5,203,22,3,40000,0
2015,2017,2,2,2,4,223,42,2,38000,1
2020,2021,5,1,1,1,193,14,1,31000,0
2019,2020,4,1,1,3,182,12,2,40000,0
2020,2021,5,1,1,2,187,21,3,35000,0
2020,2021,2,1,1,2,191,18,2,39000,1
2018,2021,5,3,2,2,230,35,3,39000,1
2020,2021,3,1,1,5,164,20,2,36000,0
2016,2018,5,2,2,4,221,31,2,39000,1
2016,2021,2,5,2,4,220,31,3,38000,0
2020,2021,2,1,1,0,208,17,2,31000,1
2015,2016,5,1,1,3,178,20,3,33000,0
2017,2021,5,4,2,3,225,44,1,52000,1
2016,2020,4,4,2,3,233,40,1,48000,1
2016,2019,5,3,2,4,220,35,3,39000,0
2020,2021,3,1,1,0,206,16,2,31000,0
2018,2019,5,1,1,0,213,14,1,32000,0
2017,2021,4,4,2,2,244,42,1,70000,1
2016,2017,4,1,1,1,199,12,1,36000,0
2019,2021,3,2,2,3,234,36,1,51000,1
2017,2021,5,4,2,0,271,36,1,54000,1
2020,2021,5,1,1,3,183,22,1,28000,1
2015,2018,2,3,2,2,233,34,2,38000,1
2017,2019,5,2,2,2,237,33,2,49000,1
2017,2020,5,3,2,2,239,41,1,66000,1
2016,2020,4,4,2,5,210,26,2,40000,0
2016,2017,2,1,1,4,172,17,1,40000,0
2015,2018,4,3,2,4,223,40,3,38000,1
2018,2019,5,1,1,4,174,10,1,39000,0
2017,2021,5,4,2,3,236,38,1,45000,1
2016,2020,3,4,2,4,226,39,1,40000,1
2017,2020,2,3,2,0,292,39,2,39000,1
2015,2017,3,2,2,5,210,28,1,39000,0
2016,2018,2,2,2,3,223,35,1,39000,1
2017,2018,2,1,1,0,216,17,1,35000,1
2020,2021,2,1,1,3,178,15,2,35000,0
2017,2018,5,1,1,5,161,10,3,35000,0
2015,2020,4,5,2,4,215,41,3,40000,0
2017,2019,3,2,2,2,245,38,2,41000,1
2019,2021,5,2,2,1,246,36,1,42000,1
2017,2019,3,2,2,1,249,45,3,38000,1
2019,2020,4,1,1,5,165,17,3,30000,0
2017,2019,5,2,2,4,219,31,1,39000,0
2019,2021,5,2,2,2,246,34,3,40000,1
2019,2021,4,2,2,1,244,31,1,42000,1
2017,2020,5,3,2,2,230,38,2,49000,1
2018,2021,5,3,2,4,216,38,1,39000,0
2015,2019,5,1,1,5,165,11,1,33000,0
2017,2020,5,3,2,2,231,40,1,41000,1
2017,2019,3,2,2,2,236,35,2,53000,1
2016,2021,5,5,2,1,244,42,3,39000,1
2016,2018,4,2,2,1,240,33,1,41000,1
2019,2021,5,2,2,0,267,36,1,44000,1
2017,2020,4,3,2,3,240,42,2,45000,1
2019,2020,5,1,1,1,195,23,1,34000,1
2018,2020,5,2,2,4,216,35,1,39000,0
2016,2019,5,3,2,5,210,22,2,39000,0
2018,2020,3,2,2,3,236,34,1,49000,1
2019,2020,3,1,1,0,206,18,2,30000,1
2017,2019,2,2,2,3,232,34,1,39000,1
2020,2021,4,1,1,3,184,24,1,29000,1
2019,2020,3,1,1,5,165,23,1,36000,0
2017,2019,4,2,2,3,240,41,1,47000,1
2018,2021,2,3,2,0,259,34,1,39000,1
2019,2021,2,2,2,4,213,40,1,39000,0
2019,2021,5,2,2,3,221,44,1,43000,1
2019,2020,2,1,1,5,162,24,2,39000,0
2019,2021,3,2,2,4,217,31,3,39000,0
2015,2020,2,5,2,0,293,43,1,39000,1
2017,2019,3,2,2,3,223,30,3,39000,0
2019,2021,2,2,2,2,230,34,2,39000,1
2019,2021,4,2,2,5,202,22,1,39000,0
2018,2021,2,3,2,3,222,38,3,39000,1
2016,2019,3,3,2,3,223,38,3,39000,1
2020,2021,4,1,1,4,176,14,1,32000,0
2018,2019,2,1,1,4,170,25,1,38000,0
2017,2020,5,3,2,0,292,32,3,39000,1
2017,2018,3,1,1,3,177,21,2,27000,0
2018,2020,2,2,2,0,264,34,1,38000,1
2015,2016,3,1,1,1,198,19,2,29000,1
2017,2020,4,3,2,4,223,44,1,39000,1
2015,2017,5,2,2,2,235,35,3,39000,1
2019,2020,4,1,1,4,175,16,2,31000,0
2018,2020,2,2,2,5,208,27,3,39000,0
2016,2019,5,3,2,3,239,32,1,47000,1
2015,2021,4,6,2,5,200,24,2,38000,0
2015,2018,5,3,2,4,210,24,1,40000,0
2015,2016,4,1,1,3,183,25,1,35000,1
2015,2016,4,1,1,4,176,13,2,36000,0
2018,2021,5,3,2,5,200,22,2,38000,0
2015,2020,3,5,2,0,291,39,1,45000,1
2018,2020,5,2,2,4,230,39,2,38000,1
2017,2021,3,4,2,4,213,39,1,38000,0
2017,2020,3,3,2,2,234,30,2,45000,0
2019,2021,3,2,2,2,237,35,1,52000,1
2016,2021,4,5,2,3,234,36,2,46000,1
2019,2020,3,1,1,0,210,25,2,35000,1
2018,2020,3,2,2,1,242,37,1,48000,1
2017,2021,2,4,2,2,236,40,3,38000,1
2018,2019,2,1,1,5,160,14,2,30000,0
2017,2019,4,2,2,0,290,43,1,68000,1
2018,2019,5,1,1,2,191,11,1,35000,0
2019,2021,5,2,2,2,237,40,3,38000,1
2015,2020,5,5,2,4,217,43,2,39000,0
2016,2017,5,1,1,5,162,25,1,39000,0
2019,2021,3,2,2,3,227,41,1,40000,1
2015,2016,3,1,1,1,194,20,3,33000,0
2017,2018,3,1,1,5,163,20,3,39000,0
2016,2019,4,3,2,0,271,39,3,39000,1
2020,2021,2,1,1,1,193,22,3,32000,0
2015,2020,2,5,2,0,260,33,3,39000,1
2016,2018,2,2,2,4,218,32,3,38000,0
2016,2019,5,3,2,5,209,24,1,39000,0
2017,2019,4,2,2,3,236,31,2,41000,1
2015,2018,5,3,2,2,234,31,1,52000,1
2016,2020,3,4,2,0,254,44,3,38000,1
2018,2021,2,3,2,4,222,34,1,39000,1
2019,2021,2,2,2,0,287,45,3,40000,1
2019,2020,2,1,1,2,185,25,3,34000,0
2017,2020,2,3,2,5,203,22,2,38000,0
2019,2021,2,2,2,3,223,40,3,39000,1
2015,2017,4,2,2,2,249,42,2,66000,1
2016,2017,3,1,1,5,168,21,3,37000,0
2017,2020,3,3,2,1,244,44,2,54000,1
2018,2019,4,1,1,4,174,15,3,32000,0
2019,2020,4,1,1,5,161,18,2,35000,0
2016,2019,4,3,2,0,265,34,2,41000,1
2019,2020,3,1,1,0,210,10,1,34000,0
2016,2017,4,1,1,1,192,10,1,37000,0
2017,2019,4,2,2,1,247,34,3,40000,1
2019,2021,2,2,2,0,268,35,1,39000,1
2019,2021,5,2,2,3,240,31,3,40000,1
2020,2021,3,1,1,0,220,15,1,35000,0
2019,2020,4,1,1,2,187,21,2,27000,1
2016,2021,3,5,2,4,227,40,1,39000,1
2017,2018,3,1,1,1,194,11,1,30000,0
2018,2019,2,1,1,0,203,19,1,35000,1
2016,2021,3,5,2,5,200,29,3,39000,0
2016,2019,5,3,2,5,207,26,1,40000,0
2017,2021,4,4,2,0,292,42,2,61000,1
2020,2021,3,1,1,1,196,21,1,35000,1
2017,2020,2,3,2,0,290,43,1,39000,1
2016,2019,3,3,2,0,270,34,2,48000,1
2015,2020,5,5,2,1,246,38,1,50000,1
2018,2021,5,3,2,5,203,24,1,40000,0
2018,2019,3,1,1,0,216,21,1,26000,1
2018,2020,5,2,2,1,250,45,1,65000,1
2015,2020,5,5,2,3,232,34,2,45000,1
2015,2017,3,2,2,1,249,38,2,49000,1
2018,2021,4,3,2,4,229,33,1,40000,1
2016,2020,5,4,2,1,241,32,1,47000,1
2016,2019,2,3,2,1,250,42,1,39000,1
2017,2019,5,2,2,5,203,24,1,38000,0
2018,2021,4,3,2,1,248,37,3,39000,1
2015,2021,5,6,2,2,240,42,1,67000,1
2015,2017,3,2,2,5,202,29,2,39000,0
2018,2020,3,2,2,0,281,36,3,38000,1
2016,2021,4,5,2,2,244,31,3,38000,1
2020,2021,4,1,1,1,197,15,2,38000,0
2016,2021,5,5,2,0,278,36,2,50000,1
2015,2017,4,2,2,1,247,35,2,53000,1
